storenum;weeknum;saleb1;apriceb1;rpriceb1;promotb1;saleb2;apriceb2;rpriceb2;promotb2;saleb3;apriceb3;rpriceb3;promotb3;saleb4;apriceb4;rpriceb4;promotb4;saleb5;apriceb5;rpriceb5;promotb5;C70
1;18;94;0,870000005;0,870000005;0;115;0,970000029;0,970000029;0;9;0,930000007;0,930000007;0;208;0,600000024;0,689999998;0;46;0,589999974;0,589999974;0;-103
1;19;26;0,970000029;0,970000029;0;128;0,970000029;0,970000029;0;52;0,850000024;0,850000024;0;249;0,600000024;0,689999998;0;28;0,589999974;0,589999974;0;-131
1;20;45;0,970000029;0,970000029;0;94;0,970000029;0,970000029;0;133;0,790000021;0,930000007;1;129;0,689999998;0,689999998;0;30;0,589999974;0,589999974;0;-45
1;21;48;0,980000019;0,980000019;0;118;0,970000029;0,970000029;0;100;0,790000021;0,930000007;0;108;0,689999998;0,689999998;0;20;0,589999974;0,589999974;0;0
1;22;157;0,790000021;0,980000019;1;74;0,970000029;0,970000029;0;25;0,930000007;0,930000007;0;131;0,689999998;0,689999998;0;35;0,589999974;0,589999974;0;-67
1;23;101;0,819999993;0,980000019;0;97;0,970000029;0,970000029;0;34;0,930000007;0,930000007;0;113;0,689999998;0,689999998;0;54;0,589999974;0,589999974;0;-26
1;24;30;0,980000019;0,980000019;0;233;0,430000007;0,970000029;1;11;0,930000007;0,930000007;0;95;0,689999998;0,689999998;0;19;0,589999974;0,589999974;0;128
1;25;32;0,980000019;0,980000019;0;204;0,860000014;0,860000014;0;17;0,930000007;0,930000007;0;110;0,689999998;0,689999998;0;45;0,589999974;0,589999974;0;84
1;26;43;0,970000029;0,970000029;0;80;0,970000029;0,970000029;0;27;0,930000007;0,930000007;0;105;0,689999998;0,689999998;0;47;0,589999974;0,589999974;0;-35
1;27;191;0,800000012;0,980000019;1;102;0,970000029;0,970000029;0;32;0,930000007;0,930000007;0;160;0,680000007;0,680000007;0;62;0,589999974;0,589999974;0;-68
1;28;83;0,829999983;0,980000019;0;164;0,790000021;0,970000029;1;12;0,930000007;0,930000007;0;186;0,600000024;0,689999998;0;35;0,589999974;0,589999974;0;-32
1;29;37;0,980000019;0,980000019;0;177;0,790000021;0,970000029;0;25;0,870000005;0,930000007;0;185;0,600000024;0,689999998;0;23;0,589999974;0,589999974;0;-18
1;30;36;0,980000019;0,980000019;0;63;0,970000029;0,970000029;0;87;0,790000021;0,930000007;0;88;0,689999998;0,689999998;0;33;0,589999974;0,589999974;0;-35
1;31;39;0,980000019;0,980000019;0;104;0,970000029;0,970000029;0;144;0,790000021;0,930000007;1;117;0,720000029;0,720000029;0;46;0,589999974;0,589999974;0;-23
1;32;70;0,980000019;0,980000019;0;183;0,920000017;0,920000017;0;36;0,930000007;0,930000007;0;193;0,75999999;0,75999999;0;33;0,589999974;0,589999974;0;-20
1;33;56;0,800000012;0,800000012;0;315;0,589999974;0,970000029;3;13;0,930000007;0,930000007;0;240;0,670000017;0,670000017;1;47;0,589999974;0,589999974;0;65
1;34;378;0,689999998;0,970000029;1;124;0,970000029;0,970000029;2;16;0,930000007;0,930000007;0;207;0,670000017;0,670000017;0;48;0,589999974;0,589999974;0;-93
1;35;262;0,689999998;0,970000029;0;123;0,970000029;0,970000029;2;15;0,930000007;0,930000007;0;59;0,790000021;0,790000021;0;57;0,589999974;0,589999974;0;54
1;36;52;0,730000019;0,970000029;0;149;0,970000029;0,970000029;0;25;0,930000007;0,930000007;0;153;0,75999999;0,75999999;0;56;0,589999974;0,589999974;0;-14
1;37;422;0,689999998;0,970000029;3;332;0,689999998;0,970000029;3;99;0,689999998;0,930000007;1;127;0,689999998;0,75999999;1;27;0,589999974;0,589999974;0;195
1;38;235;0,699999988;0,970000029;2;971;0,689999998;0,970000029;3;83;0,730000019;0,930000007;0;116;0,689999998;0,75999999;0;51;0,589999974;0,589999974;1;
1;39;329;0,699999988;0,970000029;3;254;0,769999981;0,970000029;2;14;0,930000007;0,930000007;0;73;0,709999979;0,75999999;0;29;0,589999974;0,589999974;0;171
1;40;187;0,74000001;0,970000029;0;94;0,970000029;0,970000029;2;13;0,930000007;0,930000007;0;305;0,589999974;0,75999999;3;48;0,589999974;0,589999974;0;-221
1;41;33;0,970000029;0,970000029;0;120;0,970000029;0,970000029;0;183;0,689999998;0,930000007;3;275;0,589999974;0,75999999;0;28;0,589999974;0,589999974;0;-165
1;42;33;0,970000029;0,970000029;0;422;0,689999998;0,970000029;3;98;0,709999979;0,930000007;0;55;0,790000021;0,790000021;0;28;0,589999974;0,589999974;0;357
1;43;391;0,699999988;0,980000019;3;237;0,730000019;0,970000029;0;7;0,930000007;0,930000007;0;57;0,790000021;0,790000021;0;32;0,589999974;0,589999974;0;170
1;44;171;0,74000001;0,980000019;0;59;0,970000029;0,970000029;0;178;0,689999998;0,930000007;3;57;0,790000021;0,790000021;0;22;0,589999974;0,589999974;0;-8
1;45;38;0,980000019;0,980000019;0;94;0,970000029;0,970000029;0;147;0,74000001;0,930000007;0;76;0,790000021;0,790000021;0;33;0,589999974;0,589999974;0;8
1;46;45;0,99000001;0,99000001;0;124;0,970000029;0,970000029;0;25;0,930000007;0,930000007;0;117;0,790000021;0,790000021;0;31;0,589999974;0,589999974;0;-3
1;47;43;0,980000019;0,980000019;0;119;0,970000029;0,970000029;0;40;0,930000007;0,930000007;0;100;0,790000021;0,790000021;0;43;0,589999974;0,589999974;0;9
1;48;34;0,980000019;0,980000019;0;92;0,970000029;0,970000029;0;373;0,589999974;0,930000007;3;116;0,709999979;0,790000021;0;40;0,589999974;0,589999974;0;-34
1;49;33;0,980000019;0,980000019;0;683;0,790000021;0,970000029;3;50;0,930000007;0,930000007;0;111;0,709999979;0,790000021;0;38;0,589999974;0,589999974;0;
1;50;32;0,980000019;0,980000019;0;191;0,790000021;0,970000029;0;18;0,930000007;0,930000007;0;176;0,600000024;0,790000021;0;50;0,589999974;0,589999974;0;5
1;51;306;0,689999998;0,980000019;3;69;0,790000021;0,970000029;0;22;0,930000007;0,930000007;0;60;0,600000024;0,790000021;0;44;0,589999974;0,589999974;0;-1
1;52;167;0,810000002;0,980000019;0;63;0,790000021;0,970000029;0;16;0,930000007;0,930000007;0;79;0,600000024;0,790000021;0;45;0,589999974;0,589999974;0;-26
